LD_Name,ND-LD_psnr,box_psnr,gaus_psnr,sharp_psnr,med_psnr
L192_QD_3_1.CT.0003.0041.2015.12.22.20.43.31.862066.358699020.IMA,21.434431383911388,20.64619409943439,21.763431087273073,9.312125403610285,22.634937841034642
L192_QD_3_1.CT.0003.0042.2015.12.22.20.43.31.862066.358699044.IMA,21.84514203771011,20.833676876471756,22.002782242408806,9.594691594882574,23.00060959771625
L192_QD_3_1.CT.0003.0043.2015.12.22.20.43.31.862066.358699068.IMA,21.808956990902782,20.817284087862728,21.978873955804698,9.564216984368299,22.99292696024795
L192_QD_3_1.CT.0003.0044.2015.12.22.20.43.31.862066.358699092.IMA,21.378077649392026,20.634894054243205,21.731599337513266,9.301233271061548,22.682574741889056
L192_QD_3_1.CT.0003.0045.2015.12.22.20.43.31.862066.358699116.IMA,21.709350636246434,20.808377062771495,21.94385331058346,9.52462963589586,22.97252730487937
L192_QD_3_1.CT.0003.0046.2015.12.22.20.43.31.862066.358699140.IMA,21.57481200532212,20.73442320630422,21.84970700209442,9.440608067752288,22.823615700653924
L192_QD_3_1.CT.0003.0047.2015.12.22.20.43.31.862066.358699164.IMA,21.18787591057568,20.581766851940145,21.648633225994107,9.145182726726066,22.560914375690384
L192_QD_3_1.CT.0003.0048.2015.12.22.20.43.31.862066.358699188.IMA,21.599610079134287,20.793842159580464,21.904677183310728,9.446584620005265,22.91595950004378
L192_QD_3_1.CT.0003.0049.2015.12.22.20.43.31.862066.358699212.IMA,21.579384330684075,20.77450761496385,21.880784090937595,9.46507239397055,22.912102628880845
L192_QD_3_1.CT.0003.0050.2015.12.22.20.43.31.862066.358699236.IMA,21.257636794702954,20.6210555039477,21.68309840356718,9.276550583784118,22.644201809879725
L192_QD_3_1.CT.0003.0051.2015.12.22.20.43.31.862066.358699260.IMA,21.743356318368473,20.898462423178458,22.024607157765935,9.575238905732679,23.04046808842287
L192_QD_3_1.CT.0003.0052.2015.12.22.20.43.31.862066.358699284.IMA,21.740374139847457,20.9306523023956,22.057581231834078,9.564094056917492,23.01431075935647
L192_QD_3_1.CT.0003.0053.2015.12.22.20.43.31.862066.358699308.IMA,21.299824868515785,20.737775389202664,21.79448354105887,9.312141356401787,22.7025271231979
L192_QD_3_1.CT.0003.0054.2015.12.22.20.43.31.862066.358699332.IMA,21.81039339742513,21.00071181723246,22.115916653413542,9.686005578710388,23.077778322690648
L192_QD_3_1.CT.0003.0055.2015.12.22.20.43.31.862066.358699356.IMA,21.842205980538477,21.052344606715895,22.169029490921652,9.710114840494036,23.114694172855934
L192_QD_3_1.CT.0003.0056.2015.12.22.20.43.31.862066.358699380.IMA,21.648774708817783,20.936545794347797,22.036025958680845,9.563998186890348,22.957635908516295
L192_QD_3_1.CT.0003.0057.2015.12.22.20.43.31.862066.358699404.IMA,22.1941583899783,21.164422408627388,22.346204657971214,9.89460082904515,23.418807968403193
L192_QD_3_1.CT.0003.0058.2015.12.22.20.43.31.862066.358699428.IMA,22.271814074269955,21.20165673317696,22.387600219769016,9.950299373649633,23.439971938045147
L192_QD_3_1.CT.0003.0059.2015.12.22.20.43.31.862066.358699452.IMA,21.940738883412667,21.089081437388945,22.221773845721565,9.765985439355214,23.215311581667237
L192_QD_3_1.CT.0003.0060.2015.12.22.20.43.31.862066.358699476.IMA,22.37742931822254,21.22007432392726,22.424420998281413,10.014432855201452,23.53855186213183
L192_QD_3_1.CT.0003.0061.2015.12.22.20.43.31.862066.358699500.IMA,22.37841733944075,21.169206942071046,22.371466627208555,10.056286989725363,23.493071434681873
L192_QD_3_1.CT.0003.0062.2015.12.22.20.43.31.862066.358699524.IMA,22.117211106609727,21.13624171371198,22.29683805289107,9.921865143200536,23.37521344089623
L192_QD_3_1.CT.0003.0063.2015.12.22.20.43.31.862066.358699548.IMA,22.616673563918486,21.469764818107908,22.681341494336632,10.279302032890687,23.839462363879704
L192_QD_3_1.CT.0003.0064.2015.12.22.20.43.31.862066.358699572.IMA,22.648764532993937,21.505640606498613,22.71140871806086,10.35394433751468,23.90774522234043
L192_QD_3_1.CT.0003.0065.2015.12.22.20.43.31.862066.358699596.IMA,22.291917272591984,21.32282977048764,22.485660445226735,10.142353069060048,23.598816523454282
L192_QD_3_1.CT.0003.0066.2015.12.22.20.43.31.862066.358699620.IMA,22.666839165376985,21.494652726225084,22.708054786643448,10.3862588625695,23.873560754144428
L192_QD_3_1.CT.0003.0067.2015.12.22.20.43.31.862066.358699644.IMA,22.654148238016454,21.45046764203262,22.665093743574758,10.373765776646525,23.82511442243123
L192_QD_3_1.CT.0003.0068.2015.12.22.20.43.31.862066.358699668.IMA,22.22340129757574,21.29111343679723,22.449619545138514,10.08665989007432,23.481158806041744
L192_QD_3_1.CT.0003.0069.2015.12.22.20.43.31.862066.358699692.IMA,22.550271669783946,21.475980532284606,22.658975951696053,10.35259828215375,23.687194168343307
L192_QD_3_1.CT.0003.0070.2015.12.22.20.43.31.862066.358699716.IMA,22.635685084540196,21.574137081706596,22.754970088270845,10.431507753805596,23.77739596215024
L192_QD_3_1.CT.0003.0071.2015.12.22.20.43.31.862066.358699740.IMA,22.257905906880666,21.46412364012376,22.587090668253378,10.201981257054221,23.54130345822309
L192_QD_3_1.CT.0003.0072.2015.12.22.20.43.31.862066.358699764.IMA,22.788632771333152,21.7345824460552,22.926621415792194,10.540241169466881,23.999888730499947
L192_QD_3_1.CT.0003.0073.2015.12.22.20.43.31.862066.358699788.IMA,22.81781306319242,21.776416771504987,22.960765267073334,10.574878111697055,24.022018971061332
L192_QD_3_1.CT.0003.0074.2015.12.22.20.43.31.862066.358699812.IMA,22.519370473878723,21.67684667030974,22.806015773814398,10.42111032103945,23.776930867006495
